Site ID,Lon,Lat,Vertical Rate (mm/yr),Vertical Rate - BOP corrected (mm/yr),1-sigma uncertainty (mm/yr),Number of obs,Quality Factor,Average distance between coastal point and observations,,,,,,,
203,173.751608,-35.036849,0.023065,0.023065,1.945841,222,3.666667,36.724292,,,,,,,
204,173.754659,-35.043779,0.214696,0.214696,2.097822,306,3.333333,36.92964,,,,,,,
205,173.759461,-35.048708,0.194003,0.194003,1.965452,394,3.333333,37.045649,,,,,,,
206,173.769108,-35.050924,-0.230221,-0.230221,2.219306,549,3,37.434918,,,,,,,
207,173.766443,-35.045939,0.209642,0.209642,1.932478,349,3.333333,36.692517,,,,,,,
208,173.763586,-35.038589,0.106653,0.106653,1.908237,287,3.666667,36.871125,,,,,,,
209,173.768032,-35.032905,0.076598,0.076598,2.126751,263,3.666667,36.983279,,,,,,,
210,173.776595,-35.041631,0.050312,0.050312,1.998014,328,3.333333,36.515203,,,,,,,
211,173.780671,-35.033994,0.073098,0.073098,2.232487,297,3.666667,36.766336,,,,,,,
212,173.774843,-35.028767,0.105325,0.105325,2.286472,265,3.666667,37.140743,,,,,,,
213,173.773379,-35.02006,-0.064754,-0.064754,2.079919,217,3.666667,37.553133,,,,,,,
214,173.758945,-35.015665,-0.101339,-0.101339,1.964102,173,4,37.952152,,,,,,,
215,173.76205,-35.00653,0.031881,0.031881,2.027286,131,4,38.292221,,,,,,,
216,173.778523,-35.007838,0.092377,0.092377,1.952392,181,4,38.236098,,,,,,,
217,173.795778,-35.001803,0.011059,0.011059,2.160119,177,4.333333,38.325411,,,,,,,
218,173.807876,-34.995238,0.009679,0.009679,2.292519,140,4.333333,38.222198,,,,,,,
219,173.815336,-34.998086,0.122207,0.122207,2.226565,220,4,38.423397,,,,,,,
220,173.822413,-34.996058,0.099428,0.099428,2.278869,200,4.333333,38.237451,,,,,,,
221,173.833248,-34.997773,-0.135993,-0.135993,1.991899,254,4,38.165505,,,,,,,
222,173.843027,-34.994255,-0.100045,-0.100045,2.099342,232,4,38.036628,,,,,,,
223,173.859039,-34.990228,-0.385838,-0.385838,2.36256,220,4,37.817675,,,,,,,
224,173.849337,-34.995775,0.02769,0.02769,2.301479,263,4,37.936255,,,,,,,
225,173.852248,-35.002682,-0.074216,-0.074216,2.236422,277,4,37.270168,,,,,,,
226,173.853632,-35.013357,-0.119782,-0.119782,2.016442,312,3.666667,36.514771,,,,,,,
227,173.861972,-35.019302,-0.1017,-0.1017,2.134382,329,3.666667,35.891392,,,,,,,
228,173.87647,-35.018438,-0.075074,-0.075074,2.270347,352,3.666667,35.891142,,,,,,,
229,173.888894,-35.018413,0.208196,0.208196,2.208265,370,3.666667,35.799535,,,,,,,
230,173.894719,-35.01008,0.011747,0.011747,2.020751,329,3.666667,36.048732,,,,,,,
231,173.900406,-35.021068,0.275458,0.275458,2.117023,391,3.666667,35.509121,,,,,,,
232,173.912334,-35.027006,0.235549,0.235549,2.08465,420,3.333333,35.001029,,,,,,,
233,173.913978,-35.032285,0.14118,0.14118,2.136159,433,3.333333,34.57762,,,,,,,
234,173.92505,-35.043077,0.163222,0.163222,2.000361,831,3.333333,36.266702,,,,,,,
235,173.938818,-35.053101,0.010867,0.010867,2.044816,964,3.333333,35.510935,,,,,,,
236,173.932155,-35.059618,0.032412,0.032412,2.21139,1103,3.333333,35.52808,,,,,,,
237,173.929281,-35.069048,-0.212333,-0.212333,2.066124,1411,3.333333,35.651826,,,,,,,
238,173.934752,-35.084284,-0.307139,-0.307139,2.236254,1521,3.333333,34.366433,,,,,,,
239,173.93979,-35.098042,-0.298761,-0.298761,2.150551,1612,3.333333,33.252375,,,,,,,
240,173.932139,-35.098172,-0.355997,-0.355997,2.081756,1611,3.333333,33.290352,,,,,,,
241,173.932832,-35.104969,-0.468864,-0.468864,1.926305,1636,3.333333,32.683057,,,,,,,
242,173.944293,-35.102497,-0.402548,-0.402548,2.08118,1621,3.333333,32.798384,,,,,,,
243,173.958174,-35.113237,-0.475233,-0.475233,2.058877,1666,3.333333,31.833086,,,,,,,
244,173.966176,-35.121419,-0.479621,-0.479621,1.917798,1707,3.333333,31.178929,,,,,,,
245,173.976337,-35.119574,-0.42458,-0.42458,2.152776,1687,3.333333,31.277177,,,,,,,
246,173.982049,-35.131424,-0.847364,-0.847364,2.091818,1779,3.333333,30.55169,,,,,,,
247,173.989094,-35.1343,-0.880733,-0.880733,1.847565,1790,3.333333,30.3436,,,,,,,
248,173.982653,-35.123335,-0.737539,-0.737539,1.855607,1713,3.333333,31.040565,,,,,,,
249,173.992872,-35.115971,-0.594082,-0.594082,2.062249,1649,3.333333,31.512558,,,,,,,
250,174.007702,-35.121708,-0.857059,-0.857059,2.069282,1678,3.666667,31.171144,,,,,,,
251,174.021445,-35.115286,-0.586088,-0.586088,2.127969,1608,3.666667,31.601358,,,,,,,
252,174.031737,-35.117448,-0.698633,-0.698633,2.026438,1596,3.666667,31.438109,,,,,,,
253,174.04221,-35.117103,-0.71284,-0.71284,2.206652,1594,3.666667,31.613167,,,,,,,
254,174.053782,-35.118834,-0.782585,-0.782585,2.088543,1553,3.666667,31.398137,,,,,,,
255,174.064344,-35.116704,-0.646027,-0.646027,2.069033,1351,3.666667,30.526421,,,,,,,
256,174.080306,-35.116392,-0.603106,-0.603106,2.134144,1282,3.666667,30.289132,,,,,,,
257,174.086705,-35.124707,-0.695817,-0.695817,1.946222,1349,3.666667,30.026497,,,,,,,
258,174.090541,-35.133566,-0.642856,-0.642856,1.977842,1415,3.666667,29.669917,,,,,,,
259,174.094809,-35.14219,-0.715775,-0.715775,2.006568,1594,3.666667,30.090366,,,,,,,
260,174.102011,-35.151618,-0.636963,-0.636963,2.128665,1768,3.666667,30.33539,,,,,,,
261,174.115146,-35.15611,-0.643515,-0.643515,2.171625,1696,3.666667,29.83257,,,,,,,
262,174.125875,-35.160541,-0.618047,-0.618047,2.084452,1613,3.666667,29.142766,,,,,,,
263,174.119212,-35.171152,-0.383076,-0.383076,1.936384,1966,3.666667,29.956674,,,,,,,
264,174.105888,-35.169604,-0.41406,-0.41406,2.191242,1968,3.666667,29.721812,,,,,,,
265,174.098664,-35.171365,-0.382664,-0.382664,2.017985,2018,3.666667,29.608483,,,,,,,
266,174.08497,-35.177627,-0.474404,-0.474404,1.922457,2123,3.666667,29.181666,,,,,,,
267,174.070081,-35.185521,-0.593928,-0.593928,2.024103,2212,3.666667,28.512965,,,,,,,
268,174.063331,-35.190148,-0.646218,-0.646218,1.850351,2236,3.666667,28.040504,,,,,,,
269,174.057949,-35.1787,-0.614457,-0.614457,2.056057,2170,3.666667,28.715783,,,,,,,
270,174.053778,-35.174625,-0.519517,-0.519517,2.084646,2150,3.666667,28.935716,,,,,,,
271,174.05053,-35.164617,-0.632055,-0.632055,2.193986,2036,3.666667,29.279592,,,,,,,
